"USDA and ODS-NIH Database for the Purine Content of Foods
Release 2, March 2025",,,,,,,,,,,,,,,,,,,,,,
Presented in milligrams per 100 grams (mg/100g),,,,,,,,,,,,,,,,,,,,,,
International Published Literature (Excluding North America),,,,,,,,,,,,,,,,,,,,,,
Food Description,N,Adenine,,,,Guanine,,,,Hypoxanthine,,,,Xanthine,,,,Total of 4 Purine Bases (mg/100g),Uric Acid (mg/100g)*,Year(s) Published,Data Source1,Country of Origin2 
,,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,Mean (mg/100g)*,SEM,Min,Max,,,,,
Sesame,1,13,-,-,-,22,-,-,-,0.3,-,-,-,0.8,-,-,-,36,-,2020,n,Japan
"Soybeans, green, raw",1,21,-,-,-,27,-,-,-,0,-,-,-,0,-,0,0,48,-,2014,b,Japan
"Spinach, boiled",1,19,-,-,-,14,-,-,-,0,-,-,-,6.6,-,0,0,39,-,2008,d,Japan
"Spinach, mature, raw",1,30,-,-,-,14,-,-,-,0,-,-,-,7.7,-,-,-,51,-,2014,b,Japan
"Spinach, young, raw",1,84,-,-,-,88,-,-,-,0,-,-,-,0,-,-,-,172,-,2014,b,Japan
"Squash, zucchini, raw",1,5.0,-,-,-,6.3,-,-,-,1.0,-,-,-,0.8,-,-,-,13,-,2014,b,Japan
"Sweet potato, raw",1,6.7,-,-,-,7.3,-,-,-,2.4,-,-,-,0.6,-,-,-,17,-,2014,b,Japan
Taro  ,1,0.6,-,-,-,1.0,-,-,-,0.2,-,-,-,0,-,-,-,1.8,-,2020,n,Japan
"Tomatoes, cherry type, raw",1,1.6,-,-,-,1.5,-,-,-,0,-,-,-,0,-,-,-,3.1,-,2014,b,Japan
"Tomatoes, no further specified",1,3.2,-,-,-,1.2,-,-,-,2.1,-,-,-,0.1,-,-,-,6.6,-,2020,n,Japan
Turnip,1,1.4,-,-,-,2.3,-,-,-,0.2,-,-,-,0,-,-,-,3.9,-,2020,n,Japan
"Yam, Japanese",1,1.7,-,-,-,2.1,-,-,-,0.2,-,-,-,0,-,-,-,4.0,-,2020,n,Japan
"Vegetarian meat, fish, and egg alternatives",,,,,,,,,,,,,,,,,,,,,,
"‘Bacon', meatless",2,32,-,28,36,36,-,31,41,5.8,-,3.7,7.8,1.0,-,0.3,1.8,74,0,2010,f,Great Britain
"‘Chicken', meatless",2,38,-,36,39,37,-,34,40,2.6,-,1.0,4.2,0,-,0,0,77,0,2010,f,Great Britain
"‘Frankfurter', meatless",2,12,-,8.2,16,16,-,13,20,3.7,-,1.4,5.9,0.2,-,0,0.3,32,2.1,2010,f,Great Britain
"‘Sausage', meatless",9,21,4.2,6.4,40,23,3.7,9.3,36,1.8,0.6,0,4.8,0.3,0.2,0,1.3,46,0,2010,f,"Czech Republic, Great Britain"
‘Vegetarian 'gizzard' from soy,1,0.1,-,-,-,0.2,-,-,-,0,-,-,-,0,-,-,-,0.3,0,2010,f,Vietnam
Egg white schnitzel (vegetarian ‘steak’),1,0.5,-,-,-,14,-,-,-,18,-,-,-,7.0,-,-,-,39,0.9,2010,f,Czech Republic
"Ham style vegetarian slices, from mycoprotein",1,47,-,-,-,57,-,-,-,13,-,-,-,0.6,-,-,-,117,0,2010,f,Great Britain
Instant-vegetarian dried 'deer' from soy,1,46,-,-,-,52,-,-,-,15,-,-,-,2.4,-,-,-,116,0,2010,f,Vietnam
Instant-vegetarian dried 'fish' from soy,1,38,-,-,-,50,-,-,-,0,-,-,-,0,-,-,-,89,0,2010,f,Vietnam
"Luncheon slices, meatless",2,47,-,8.6,86,50,-,12,89,0,-,0,0,0.7,-,0,1.4,98,0,2010,f,Great Britain
Tofu burger,1,46,-,-,-,56,-,-,-,0,-,-,-,0,-,-,-,103,0,2010,f,Czech Republic
Vegetarian 'Ba Sa fish' from soy,1,20,-,-,-,43,-,-,-,19,-,-,-,0.6,-,-,-,83,0,2010,f,Vietnam
Vegetarian 'meatloaf' or patties,2,20,-,15,24,21,-,16,25,1.2,-,1.0,1.5,0.2,-,0,0.3,42,0,2010,f,"Czech Republic, Great Britain"
Vegetarian 'quail's eggs',1,0,-,-,-,0.04,-,-,-,0,-,-,-,0,-,-,-,0.0,0,2010,f,Vietnam
Vegetarian 'steak' from wheat (Robi' schnitzels),1,8.7,-,-,-,12,-,-,-,0.2,-,-,-,0,-,-,-,21,0,2010,f,Czech Republic
